name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,bic_inferred,logl_inferred,bic_raxml,logl_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3482712190481836| 'lambda': 18.957543594568616| 'nu': 0.05687263078370585| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0_true_network.nw,0.5,243.435,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,9306.362,True,4.0,442446.4205,-219632.2727,442558.1554,-219688.1401,482746.6168,-239889.3246,-1,-1,-1,-1,14453,0.0875,0.1333333333,1.0,0.2446808511,0.1333333333,1.0,0.1333333333,0.06976744186,0.4137931034
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3482712190481836| 'lambda': 18.957543594568616| 'nu': 0.05687263078370585| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0_true_network.nw,0.5,243.435,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_10_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,9363.291,True,4.0,442446.4205,-219632.2727,442558.3593,-219688.2421,482746.6168,-239889.3246,-1,-1,-1,-1,14453,0.0875,0.1333333333,1.0,0.2446808511,0.1333333333,1.0,0.1333333333,0.06976744186,0.4137931034
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.24799180278587615| 'lambda': 21.4452810802163| 'nu': 0.06433584324064891| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0_true_network.nw,0.5,199.05,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,12842.514,True,4.0,366799.513,-181808.8189,366936.4256,-181877.2752,392996.2414,-195014.1369,-1,-1,-1,-1,12725,0.0,0.1136363636,1.0,0.3829787234,0.1956521739,1.0,0.1956521739,0.1136363636,0.1960784314
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.24799180278587615| 'lambda': 21.4452810802163| 'nu': 0.06433584324064891| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0_true_network.nw,0.5,199.05,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_11_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,13954.828000000001,True,4.0,366799.513,-181808.8189,366821.4994,-181819.8121,392996.2414,-195014.1369,-1,-1,-1,-1,12725,0.0,0.1136363636,1.0,0.3829787234,0.1956521739,1.0,0.1956521739,0.1136363636,0.1960784314
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.16071699722666521| 'lambda': 17.821503036568096| 'nu': 0.05346450910970429| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0_true_network.nw,0.5,156.151,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,2880.708,True,3.0,368795.3169,-182806.7208,368913.922,-182892.7618,376675.8498,-186853.9411,-1,-1,-1,-1,12655,0.1470588235,0.0487804878,1.0,0.1714285714,0.09302325581,1.0,0.1555555556,0.125,0.2692307692
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.16071699722666521| 'lambda': 17.821503036568096| 'nu': 0.05346450910970429| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0_true_network.nw,0.5,156.151,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_12_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,3193.147,True,3.0,368794.7695,-182806.4472,368913.922,-182892.7618,376675.8498,-186853.9411,-1,-1,-1,-1,12655,0.1470588235,0.0487804878,1.0,0.1714285714,0.09302325581,1.0,0.1555555556,0.125,0.2692307692
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.18048203692916445| 'lambda': 20.559954919150055| 'nu': 0.061679864757450166| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0_true_network.nw,0.5,173.63099999999997,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,6447.531,True,4.0,401230.5529,-199024.3389,401347.2689,-199082.6968,425066.4624,-211049.2474,-1,-1,-1,-1,13393,0.0,0.1136363636,1.0,0.3260869565,0.1555555556,1.0,0.1555555556,0.09195402299,0.1960784314
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.18048203692916445| 'lambda': 20.559954919150055| 'nu': 0.061679864757450166| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0_true_network.nw,0.5,173.63099999999997,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_13_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,6940.5880000000025,True,4.0,401230.5529,-199024.3389,401347.2689,-199082.6968,425066.4624,-211049.2474,-1,-1,-1,-1,13393,0.0,0.1136363636,1.0,0.3260869565,0.1555555556,1.0,0.1555555556,0.09195402299,0.1960784314
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.4330155190012748| 'lambda': 12.933876805247298| 'nu': 0.038801630415741896| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0_true_network.nw,0.5,234.699,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,9239.776,True,4.0,526615.9174,-261717.0211,526651.6306,-261734.8777,561806.6023,-279419.3173,-1,-1,-1,-1,15343,0.0,0.09090909091,1.0,0.1951219512,0.09090909091,1.0,0.09090909091,0.04705882353,0.16
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.4330155190012748| 'lambda': 12.933876805247298| 'nu': 0.038801630415741896| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0_true_network.nw,0.5,234.699,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_14_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,9794.586,True,4.0,526615.9174,-261717.0211,526648.956,-261733.5404,561806.6023,-279419.3173,-1,-1,-1,-1,15343,0.0,0.09090909091,1.0,0.1951219512,0.09090909091,1.0,0.09090909091,0.04705882353,0.16
/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_15_0/0_0,40,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1888918995170291| 'lambda': 23.10983767147579| 'nu': 0.06932951301442737| 'no_of_leaves': 40| 'no_of_hybrids': 4| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_15_0/0_0_true_network.nw,0.5,146.095,/home/luttersh/NetRAX/experiments/data/datasets_A_norandom_40_4_run_15_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,12203.455,True,4.0,333583.9582,-165201.0415,333709.7681,-165263.9465,356356.7752,-176694.4038,-1,-1,-1,-1,11725,0.0,0.1590909091,1.0,0.5826086957,0.3265306122,1.0,0.3529411765,0.1956521739,0.3571428571
