name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,bic_inferred,logl_inferred,bic_raxml,logl_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1644280483365456| 'lambda': 22.457219689277338| 'nu': 0.06737165906783202| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_true_network.nw,0.5,36.55,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,1130.59,True,3.0,131248.7403,-64744.79417000001,131341.3633,-64791.10565,135184.4505,-66786.97963999999,-1,-1,-1,-1,4696,0.0,0.1290322581,1.0,0.3725490196,0.2121212121,1.0,0.2285714286,0.1212121212,0.3
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1644280483365456| 'lambda': 22.457219689277338| 'nu': 0.06737165906783202| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_true_network.nw,0.5,36.55,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_BEST_LINKED_RANDOM_inferred_network.nw,BEST,LINKED,RANDOM,0,3,3,6730.967,True,3.0,131248.7403,-64744.79417000001,131341.4039,-64791.12596000001,135184.4505,-66786.97963999999,-1,-1,-1,-1,4696,0.0243902439,0.15625,1.0,0.2708333333,0.2121212121,1.0,0.2058823529,0.1212121212,0.4545454545
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1644280483365456| 'lambda': 22.457219689277338| 'nu': 0.06737165906783202| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_true_network.nw,0.5,36.55,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,632.4,True,3.0,131248.7403,-64744.79417000001,131297.5987,-64769.223379999996,135184.4505,-66786.97963999999,-1,-1,-1,-1,4696,0.0,0.1290322581,1.0,0.3725490196,0.2121212121,1.0,0.2285714286,0.1212121212,0.3
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1644280483365456| 'lambda': 22.457219689277338| 'nu': 0.06737165906783202| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_true_network.nw,0.5,36.55,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_0_0/0_0_AVERAGE_LINKED_RANDOM_inferred_network.nw,AVERAGE,LINKED,RANDOM,0,3,3,5035.124,True,3.0,131248.7403,-64744.79417000001,131282.744,-64761.79599,135184.4505,-66786.97963999999,-1,-1,-1,-1,4696,0.0,0.09677419355,1.0,0.28,0.125,1.0,0.1212121212,0.0625,0.1621621622
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.25794452600763745| 'lambda': 11.016505741681637| 'nu': 0.033049517225044914| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_true_network.nw,0.5,70.964,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,1136.328,True,3.0,188759.2667,-93500.05734,188763.7002,-93502.2741,197976.8264,-98183.16757,-1,-1,-1,-1,6694,0.09836065574,0.4358974359,1.0,0.6363636364,0.45,1.0,0.45,0.2535211268,0.4888888889
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.25794452600763745| 'lambda': 11.016505741681637| 'nu': 0.033049517225044914| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_true_network.nw,0.5,70.964,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_BEST_LINKED_RANDOM_inferred_network.nw,BEST,LINKED,RANDOM,0,3,3,8701.862,True,3.0,188759.2667,-93500.05734,188763.0752,-93501.96158999999,197976.8264,-98183.16757,-1,-1,-1,-1,6694,0.1147540984,0.2571428571,1.0,0.3866666667,0.2777777778,1.0,0.2777777778,0.1492537313,0.380952381
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.25794452600763745| 'lambda': 11.016505741681637| 'nu': 0.033049517225044914| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_true_network.nw,0.5,70.964,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,1242.566,True,3.0,188759.2667,-93500.05734,188763.7002,-93502.2741,197976.8264,-98183.16757,-1,-1,-1,-1,6694,0.09836065574,0.4358974359,1.0,0.6363636364,0.45,1.0,0.45,0.2535211268,0.4888888889
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.25794452600763745| 'lambda': 11.016505741681637| 'nu': 0.033049517225044914| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_true_network.nw,0.5,70.964,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_10_0/0_0_AVERAGE_LINKED_RANDOM_inferred_network.nw,AVERAGE,LINKED,RANDOM,0,3,3,9489.396,True,3.0,188759.2667,-93500.05734,188763.0752,-93501.96158999999,197976.8264,-98183.16757,-1,-1,-1,-1,6694,0.1147540984,0.2571428571,1.0,0.3866666667,0.2777777778,1.0,0.2777777778,0.1492537313,0.380952381
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3666297599775994| 'lambda': 9.214794572431877| 'nu': 0.027644383717295634| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_true_network.nw,0.5,67.818,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,1537.27,True,3.0,238132.276,-118186.56199999999,238188.8014,-118214.8247,245814.2732,-122101.891,-1,-1,-1,-1,7583,0.05769230769,0.1612903226,1.0,0.3548387097,0.2941176471,1.0,0.3142857143,0.1764705882,0.64
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3666297599775994| 'lambda': 9.214794572431877| 'nu': 0.027644383717295634| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_true_network.nw,0.5,67.818,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_BEST_LINKED_RANDOM_inferred_network.nw,BEST,LINKED,RANDOM,0,3,3,10599.87,True,3.0,238132.276,-118186.56199999999,238144.3311,-118192.5896,245814.2732,-122101.891,-1,-1,-1,-1,7583,0.05769230769,0.1875,1.0,0.4242424242,0.2647058824,1.0,0.2647058824,0.1764705882,0.5531914894
/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3666297599775994| 'lambda': 9.214794572431877| 'nu': 0.027644383717295634| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_true_network.nw,0.5,67.818,/home/luttersh/NetRAX/experiments/data/datasets_A_30_3_run_11_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,1783.1629999999998,True,3.0,238132.276,-118186.56199999999,238147.9919,-118194.42,245814.2732,-122101.891,-1,-1,-1,-1,7583,0.05769230769,0.1612903226,1.0,0.3548387097,0.2941176471,1.0,0.3142857143,0.1764705882,0.64
